leiden,n_cells,best_match,ISG_score
0,1622,T_cell,0.19
1,4668,T_cell,-0.02
2,6072,AT2_alveolar,-0.15
3,2882,AT2_alveolar,0.89
4,554,AT1_alveolar,0.37
5,1465,Monocyte_Macrophage,0.19
6,1328,Endothelial,-0.01
7,5648,Endothelial,0.14
8,3286,Fibroblast_mesench,0.26
9,613,Fibroblast_mesench,0.16
10,2293,Monocyte_Macrophage,0.55
11,83,Immune_general,-0.12
12,573,AT2_alveolar,0.14
13,1626,Immune_general,0.18
14,412,Immune_general,0.62
15,897,Ciliated_airway,0.16
16,3016,B_cell,-0.14
17,897,SmoothMuscle,0.08
18,1185,Neutrophil,0.31
19,175,NK_cell,-0.11
20,353,AT2_alveolar,0.25
21,510,AT2_alveolar,0.07
22,2496,NK_cell,-0.1
23,259,Endothelial,0.12
24,607,Club_airway,0.1
25,1552,Epithelial_general,-0.09
26,860,Endothelial,0.11
27,129,Endothelial,0.28
28,369,Fibroblast_mesench,0.25
29,103,B_cell,-0.1
