leiden,score_Epithelial_general,score_AT2_alveolar,score_AT1_alveolar,score_Club_airway,score_Ciliated_airway,score_Endothelial,score_Fibroblast_mesench,score_SmoothMuscle,score_Immune_general,score_AlveolarMacrophage,score_Monocyte_Macrophage,score_Neutrophil,score_T_cell,score_NK_cell,score_B_cell,score_DendriticCell,score_Proliferating,score_Mammary_cancer,score_ISG_interferon
0,-0.48,-0.38,-0.19,-0.07,-0.29,-0.49,-0.21,-0.07,1.24,-0.08,-0.29,-0.07,1.65,0.18,-0.15,-0.02,0.25,-0.17,0.19
1,-0.44,-0.12,-0.3,0.07,-0.26,-0.31,-0.16,-0.05,1.45,-0.07,-0.2,-0.05,1.9,-0.02,-0.05,-0.02,-0.02,-0.15,-0.02
2,0.91,3.67,0.52,0.04,-0.11,-0.69,-0.25,-0.08,-1.14,-0.09,0.6,-0.09,-0.38,-0.17,-0.35,-0.01,-0.03,0.26,-0.15
3,0.92,3.61,0.54,-0.09,-0.13,-0.7,-0.26,-0.08,-1.19,-0.1,0.64,-0.09,-0.39,-0.18,-0.38,-0.01,-0.05,0.26,0.89
4,0.74,0.1,3.47,0.01,0.29,-0.2,-0.03,-0.02,-0.87,-0.1,-0.02,-0.1,-0.37,-0.17,-0.31,-0.02,-0.06,-0.09,0.37
5,-0.32,-0.5,-0.38,-0.36,0.04,-0.8,-0.29,-0.14,0.58,1.2,1.7,-0.05,-0.38,-0.19,-0.36,0.02,0.16,-0.22,0.19
6,-0.57,-0.25,0.07,-0.11,0.13,2.11,-0.21,-0.04,-0.82,-0.09,-0.33,-0.09,-0.36,-0.17,-0.28,-0.01,-0.03,-0.14,-0.01
7,-0.56,-0.22,-0.29,-0.11,-0.19,2.35,-0.21,-0.06,-0.88,-0.08,-0.36,-0.08,-0.37,-0.17,-0.33,-0.0,-0.02,-0.14,0.14
8,-0.43,-0.29,-0.26,-0.17,-0.05,-0.54,2.2,0.22,-0.88,-0.1,-0.27,-0.13,-0.27,-0.17,-0.28,-0.03,-0.09,-0.15,0.26
9,-0.48,-0.58,-0.24,-0.28,0.03,-0.55,3.33,-0.04,-0.98,-0.1,-0.32,-0.13,-0.35,-0.18,-0.33,-0.06,-0.09,-0.17,0.16
10,-0.46,-0.33,-0.33,-0.33,-0.14,-0.7,-0.27,-0.1,0.86,0.35,1.32,0.02,-0.3,-0.19,0.0,0.26,0.1,-0.19,0.55
11,0.15,0.07,-0.29,0.05,-0.24,-0.18,-0.12,-0.05,0.62,0.01,-0.21,-0.01,-0.24,-0.03,-0.24,-0.01,-0.0,-0.14,-0.12
12,0.7,2.91,0.41,0.25,-0.12,-0.41,-0.08,-0.02,-0.93,-0.08,0.43,-0.07,-0.32,-0.14,-0.29,-0.02,-0.04,0.16,0.14
13,-0.55,-0.26,-0.31,-0.29,0.06,-0.68,-0.23,-0.11,1.79,0.25,1.77,0.05,-0.33,-0.17,0.04,0.06,-0.04,-0.2,0.18
14,-0.31,-0.15,-0.46,-0.26,-0.36,-0.51,-0.28,-0.1,1.33,0.12,0.07,-0.07,-0.36,-0.19,0.79,0.39,-0.04,-0.21,0.62
15,1.44,-0.21,0.13,1.57,2.43,-0.52,-0.25,-0.16,-0.86,-0.2,-0.24,-0.15,-0.35,-0.17,-0.34,-0.17,-0.18,0.35,0.16
16,-0.42,0.23,-0.29,0.0,-0.3,-0.32,-0.19,-0.07,1.2,-0.06,-0.22,-0.07,-0.24,-0.15,2.92,-0.01,-0.01,-0.16,-0.14
17,-0.41,-0.16,-0.32,-0.15,0.21,-0.5,1.2,2.34,-0.84,-0.11,-0.27,-0.1,-0.3,-0.17,-0.25,-0.05,-0.07,-0.14,0.08
18,-0.2,0.34,-0.2,0.1,-0.26,-0.4,-0.13,0.04,1.96,0.43,0.47,3.57,-0.07,-0.07,-0.13,-0.01,-0.03,-0.11,0.31
19,-0.56,-0.58,-0.38,-0.29,-0.27,-0.65,-0.29,-0.11,1.56,-0.04,-0.3,-0.1,0.19,2.22,-0.32,-0.05,2.17,-0.23,-0.11
20,0.61,3.32,0.39,-0.12,-0.17,0.47,-0.28,-0.09,-0.94,-0.1,0.48,-0.1,-0.42,-0.19,0.14,-0.01,-0.04,0.18,0.25
21,0.82,3.27,0.47,-0.07,-0.15,-0.72,-0.29,-0.1,-0.47,-0.12,0.51,-0.11,0.04,0.08,-0.35,-0.02,0.62,0.2,0.07
22,-0.45,-0.27,-0.25,-0.02,-0.28,-0.51,-0.18,-0.06,2.04,-0.02,-0.24,-0.06,0.28,2.2,-0.22,-0.01,0.04,-0.17,-0.1
23,-0.69,-0.5,-0.35,-0.25,-0.22,1.88,-0.27,-0.09,0.42,-0.09,-0.43,-0.1,0.38,0.2,0.28,-0.01,0.04,-0.2,0.12
24,0.91,0.63,0.2,4.74,-0.11,-0.35,-0.07,-0.06,-0.63,-0.07,-0.18,-0.03,-0.24,-0.13,-0.22,-0.04,-0.01,0.32,0.1
25,2.07,-0.74,-0.49,-0.35,-0.09,-0.77,-0.26,-0.06,-1.17,-0.15,-0.4,-0.08,-0.4,-0.23,-0.37,-0.03,0.1,0.93,-0.09
26,-0.54,-0.34,-0.42,-0.21,-0.24,1.92,-0.21,-0.04,-0.92,-0.11,-0.38,-0.09,-0.36,-0.17,-0.35,-0.01,0.12,-0.16,0.11
27,-0.56,-0.52,0.09,-0.25,-0.18,1.4,-0.21,-0.1,-0.99,-0.12,-0.31,-0.08,-0.37,-0.22,-0.32,-0.02,0.04,-0.18,0.28
28,0.12,-0.48,0.17,-0.28,-0.33,-0.64,1.93,-0.04,-0.98,-0.14,-0.26,-0.15,-0.4,-0.19,-0.36,-0.04,-0.06,-0.13,0.25
29,-0.61,-0.25,-0.35,-0.16,-0.35,-0.43,-0.28,-0.09,1.47,-0.09,-0.32,-0.09,0.96,0.46,2.14,-0.02,-0.01,-0.21,-0.1
