,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,Itk,Itk,Sftpc,Lamp3,Hopx,Chil3,Prx,Cd93,Mgp,Col1a2,Ctss,Cyp11a1,mt-Atp6,Csf1r,Siglech,Sec14l3,Igkc,Lhfp,Csf3r,Mki67,Egfl6,Prrg3,Nkg7,Cd93,Cyp2f2,S100a6,Vwf,Mmrn1,Upk3b,Ighd
1,Cd3e,Dgka,Sftpb,Lcn2,Ager,Plin2,Car4,Ptprb,Inmt,Col3a1,Irf5,Ccl3,mt-Co3,Gpx1,Grn,Cyp2s1,Ighm,Gucy1a1,Il1b,Top2a,Cxcl15,Sftpd,Ccl5,Cyyr1,Cbr2,Krt14,Heg1,Flt4,C3,Cd79a
2,Rac2,Lef1,Lpcat1,Ly6i,Akap5,Slc7a2,Kdr,Tek,Sod3,Mmp2,Pld4,Rab44,mt-Co2,Cd300a,Bst2,Tppp3,Cd79a,Gucy1b1,Srgn,Hist1h1e,Lamp3,Chia1,Il2rb,Ptprb,Scgb1a1,Krt8,Ptprb,Ccl21a,Rarres2,Igkc
3,Tnfaip3,Trac,Slc34a2,Sftpd,Cldn18,Plet1,Cldn5,Calcrl,Gpx3,Gsn,Spi1,Ccl4,mt-Cytb,Fgr,Cyb561a3,Foxj1,Ighd,Myl9,S100a8,Ccna2,Scd1,Sfta2,Prf1,Tek,Gsta4,Clu,Samd5,Fxyd6,Gpm6a,Pax5
4,Itgb7,Cd3e,Dram1,Npc2,Clic5,Mrc1,Igfbp7,Eng,Gsn,Dcn,Cst3,Ifitm1,mt-Atp8,Gm2a,Pld4,Cd24a,Pax5,Pdgfrb,S100a9,Stmn1,Sftpd,Rab15,Irf8,Adgrl4,Scgb3a2,Epcam,Aqp1,Ntn1,Igfbp6,Ighm
5,Icos,Tpt1,Etv5,Muc1,Emp2,Il18,Pcdh1,Adgrf5,Npnt,Col5a1,Ctsz,Ccl9,mt-Nd1,Lst1,Mpeg1,Dynlrb2,Cd19,Des,Mxd1,Hist1h1b,Chia1,Lamp3,Il18rap,Plvap,Aldh1a1,Anxa2,Cemip2,Prox1,Lrrn4,Cd79b
6,Cd3g,Tcf7,Fasn,Cxcl15,Sec14l3,Ctss,Emp2,Epas1,Fhl1,Fbln1,Psap,Hdc,mt-Nd2,Cybb,Spib,Ccdc162,Syk,Bgn,Msrb1,H2afz,Rbpjl,Lrp2,Gzma,Rasip1,Wfdc2,Dsg2,Lyve1,Stab1,C2,Pou2af1
7,Il2rb,Satb1,Chia1,Sftpa1,Rtkn2,Axl,Cd34,Ace,Bgn,Col1a1,Fcer1g,Gata2,mt-Co1,Emilin2,Lrp8,Rsph1,Cd74,Pde5a,Clec4d,Hist1h1a,Lgi3,Egfl6,Klrd1,Clec14a,Hp,C1qtnf1,Plvap,Nrp2,Akr1b3,Cd19
8,Sept1,Ets1,Abca3,Acsl4,Krt7,Abcg1,Icam2,Tspan7,Serping1,Adamts2,Gm2a,Cd7,mt-Nd5,S100a4,Lair1,Fam183b,Cd37,Mylk,Cd14,Hist1h2ap,Arhgef38,Muc1,Ugcg,Bmp6,Gabrp,Lmna,Tm4sf1,Scn1b,Aebp1,H2-Ob
9,Ptpn22,Arhgef1,Ank3,Cldn18,Pakap-1,Abhd12,Sema3f,Cyyr1,Spon1,Fstl1,Efhd2,Osm,mt-Nd4l,Fcer1g,Tex2,Ttc21a,Cd79b,Rarres2,Ncf2,Tuba1b,Sftpa1,Ager,Ifngr1,Calcrl,Aldh1a7,Dsp,Jam2,Reln,Igfbp5,Cd37
10,Trbc2,Gimap3,Sftpa1,Irx1,Spock2,Cd9,Clic4,Adgrl4,Itga8,Col6a2,Csf2ra,Ncf1,mt-Nd4,Nadk,Tcf4,Odf3b,H2-Aa,Cald1,Cebpb,Tubb5,Irx1,Hc,Adamts14,Ramp2,Sec14l3,Tnc,Flt1,Ppfibp1,Cldn15,Cxcr5
11,Zc3hav1,Vps37b,Lgi3,Fabp5,Ndst1,Sirpa,Cyp4b1,Cdh5,C7,Bgn,Alox5ap,Emilin2,mt-Nd3,Cebpb,Mctp2,Cfap298,Pou2af1,Axl,Cxcr2,Nkg7,Slc26a9,Car8,Ptprc,Kit,Selenbp1,Wnt7b,Tie1,Pard6g,Wt1,Fcmr
