leiden,IFNa,PBS,difference
0,0.447,-0.124,0.571
1,0.091,-0.133,0.224
2,0.145,-0.29,0.435
3,0.907,0.276,0.631
4,0.82,-0.101,0.921
5,0.753,-0.26,1.013
6,0.184,-0.197,0.381
7,0.402,-0.14,0.542
8,0.686,-0.192,0.878
9,0.584,-0.204,0.788
10,0.948,-0.181,1.129
11,-0.011,-0.198,0.187
12,0.367,-0.226,0.593
13,0.469,-0.153,0.622
14,0.859,0.118,0.741
15,0.495,-0.164,0.659
16,-0.034,-0.224,0.19
17,0.397,-0.247,0.644
18,0.739,-0.061,0.8
19,-0.109,-0.197,0.088
20,0.656,-0.274,0.93
21,0.575,-0.279,0.854
22,-0.056,-0.178,0.122
23,0.377,-0.191,0.568
24,0.388,-0.173,0.561
25,0.186,-0.296,0.482
26,0.437,-0.191,0.628
27,0.611,-0.13,0.741
28,0.627,-0.018,0.645
29,0.023,-0.223,0.246
